Reference;Value;Datasheet;Footprint;Stk;preis
C1;10µF;CL31B106KBHNNNE;Capacitor_SMD:C_1206_3216Metric;1; € 0,30 
C2;10nF;CL31B103KHFNFNE;Capacitor_SMD:C_1206_3216Metric;1; € 0,11 
D1;D_Schottky;BAS7002VH6327XTSA1;Diode_SMD:D_SOD-523;1; € 0,22 
D2-D22;LED grün;B1591NG--20C000922U1930;LED_SMD:LED_1206_3216Metric;21; € 2,52 
J1;USB_C;UJC-H-G-SMT-2-P6-TR;Connector_USB:USB_C_Receptacle_GCT_USB4125-xx-x_6P_TopMnt_Horizontal;1; € 0,32 
Q1;QM6015D;NTS4101PT1G;Package_TO_SOT_SMD:SOT-323_SC-70_Handsoldering;1; € 0,38 
Q2;QM6006D;2N7002WT1G;Package_TO_SOT_SMD:SOT-323_SC-70_Handsoldering;1; € 0,18 
R1;53,6 k;RQ73C2B53K6BTD;Resistor_SMD:R_1206_3216Metric;1; € 0,97 
R2;31,6 k;RQ73C2B31K6BTD;Resistor_SMD:R_1206_3216Metric;1; € 0,97 
R3-R12;82 R;CRGCQ1206F82R;Resistor_SMD:R_1206_3216Metric;10; € 0,42 
R13;287 R;RQ73C2B287RBTD;Resistor_SMD:R_1206_3216Metric;1; € 0,84 
R14-R20;0 R;CRG1206ZR;Resistor_SMD:R_1206_3216Metric;7; € 0,70 
U1;LM555xM;LM555CM/NOPB;Package_SO:SOIC-8_3.9x4.9mm_P1.27mm;1; € 1,15 
;;;;; € 9,08 
